Name	TaxID
Advenella faeciporci	797535
Advenella incenata	267800
Advenella kashmirensis	310575
Advenella mimigardefordensis	302406
Alkaliflexus imshenetskii	286730
Alkalitalea saponilacus	889453
Anaerophaga thermohalophila	177400
Azoarcus evansii	59406
Bacteroides caccae	47678
Bacteroides stercoris	46506
Bifidobacterium animalis	28025
Bifidobacterium minimum	1693
Bifidobacterium subtile	77635
Caldicoprobacter oshimai	551788
Christensenella minuta	626937
Cloacibacillus evryensis	508460
Cloacibacillus porcorum	1197717
Clostridium ganghwense	312089
Corynebacterium halotolerans	225326
Corynebacterium humireducens	1223514
Corynebacterium marinum	349751
Corynebacterium maris	575200
Corynebacterium matruchotii	43768
Corynebacterium testudinoris	136857
Corynebacterium urealyticum	43771
Ferroplasma acidiphilum	74969
Flavobacterium denitrificans	281361
Geofilum rubicundum	472113
Lutaonella thermophila	488549
Lutispora thermophila	288966
Marinifilum fragile	570161
Marinilabilia salmonicolor	989
Paenibacillus anaericanus	170367
Paenibacillus terrae	159743
Sedimentibacter acidaminivorans	913099
Sedimentibacter hydroxybenzoicus	29345
Sedimentibacter saalensis	130788
Synergistes jonesii	2754
Tamlana crocina	393006
Tindallia californiensis	159292
Zhouia amylolytica	376730
Dechloromonas denitrifican	281362
Bacteroides merdae	46503
Thauera aromatica AR-1	59405
